,session,exercise,name,user,url,commits,runs,completed,completed_at,failed
244,02,07,02-07-pythagorean-triplet-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-07-pythagorean-triplet-cleverjohnson,4,2,1,"[datetime.datetime(2022, 4, 1, 10, 13, 15)]",1
245,01,03,01-03-difference-of-squares-Amit021,Amit021,https://api.github.com/repos/DB-Teaching/01-03-difference-of-squares-Amit021,7,5,1,"[datetime.datetime(2022, 4, 3, 13, 11, 16)]",4
246,01,03,01-03-gigasecond-joeniho,joeniho,https://api.github.com/repos/DB-Teaching/01-03-gigasecond-joeniho,3,1,0,[],1
247,02,08,02-08-matching-brackets-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-08-matching-brackets-cleverjohnson,5,3,2,"[datetime.datetime(2022, 4, 1, 20, 47, 20), datetime.datetime(2022, 4, 1, 20, 48, 27)]",1
248,02,09,02-09-binary-search-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-09-binary-search-cleverjohnson,4,2,1,"[datetime.datetime(2022, 4, 3, 7, 56, 1)]",1
249,01,09,01-09-resistor-color-OliviaA22,OliviaA22,https://api.github.com/repos/DB-Teaching/01-09-resistor-color-OliviaA22,5,3,2,"[datetime.datetime(2022, 4, 3, 12, 18, 3), datetime.datetime(2022, 4, 3, 14, 41, 40)]",1
250,01,03,01-03-gigasecond-Amit021,Amit021,https://api.github.com/repos/DB-Teaching/01-03-gigasecond-Amit021,5,3,1,"[datetime.datetime(2022, 4, 4, 11, 57, 24)]",2
251,02,11,02-11-isbn-verifier-OliviaA22,OliviaA22,https://api.github.com/repos/DB-Teaching/02-11-isbn-verifier-OliviaA22,3,1,0,[],1
252,01,03,01-03-difference-of-squares-ProfEnergyHuber,ProfEnergyHuber,https://api.github.com/repos/DB-Teaching/01-03-difference-of-squares-ProfEnergyHuber,3,1,0,[],1
253,01,04,01-04-grains-Amit021,Amit021,https://api.github.com/repos/DB-Teaching/01-04-grains-Amit021,15,13,0,[],13
254,05,01,05-01-robot-simulator-dominikb1888,dominikb1888,https://api.github.com/repos/DB-Teaching/05-01-robot-simulator-dominikb1888,3,1,0,[],1
255,01,06,01-06-two-fer-yadwinder1905,yadwinder1905,https://api.github.com/repos/DB-Teaching/01-06-two-fer-yadwinder1905,4,2,0,[],2
256,02,10,02-10-reverse-string-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-10-reverse-string-cleverjohnson,5,3,2,"[datetime.datetime(2022, 4, 5, 8, 37), datetime.datetime(2022, 4, 5, 11, 30, 13)]",1
257,02,11,02-11-isbn-verifier-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-11-isbn-verifier-cleverjohnson,3,1,0,[],1
258,02,12,02-12-rna-transcription-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-12-rna-transcription-cleverjohnson,4,2,1,"[datetime.datetime(2022, 4, 7, 17, 56, 50)]",1
259,01,03,01-03-difference-of-squares-yadwinder1905,yadwinder1905,https://api.github.com/repos/DB-Teaching/01-03-difference-of-squares-yadwinder1905,3,1,0,[],1
260,02,14,02-14-darts-Amit021,Amit021,https://api.github.com/repos/DB-Teaching/02-14-darts-Amit021,3,1,0,[],1
261,02,14,02-14-darts-Tanmaytc25,Tanmaytc25,https://api.github.com/repos/DB-Teaching/02-14-darts-Tanmaytc25,3,1,0,[],1
262,02,14,02-14-darts-yadwinder1905,yadwinder1905,https://api.github.com/repos/DB-Teaching/02-14-darts-yadwinder1905,3,1,0,[],1
263,01,03,01-03-gigasecond-MadalinaLupacescu,MadalinaLupacescu,https://api.github.com/repos/DB-Teaching/01-03-gigasecond-MadalinaLupacescu,3,1,0,[],1
264,01,03,01-03-gigasecond-Marinapozhid,Marinapozhid,https://api.github.com/repos/DB-Teaching/01-03-gigasecond-Marinapozhid,3,1,0,[],1
265,02,14,02-14-darts-MadalinaLupacescu,MadalinaLupacescu,https://api.github.com/repos/DB-Teaching/02-14-darts-MadalinaLupacescu,3,1,0,[],1
266,02,14,02-14-darts-Marinapozhid,Marinapozhid,https://api.github.com/repos/DB-Teaching/02-14-darts-Marinapozhid,3,1,0,[],1
267,01,02,01-02-leap-staycliz,staycliz,https://api.github.com/repos/DB-Teaching/01-02-leap-staycliz,4,2,1,"[datetime.datetime(2022, 4, 7, 19, 35, 12)]",1
268,01,03,01-03-difference-of-squares-staycliz,staycliz,https://api.github.com/repos/DB-Teaching/01-03-difference-of-squares-staycliz,4,2,1,"[datetime.datetime(2022, 4, 7, 20, 6, 13)]",1
269,01,09,01-09-resistor-color-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/01-09-resistor-color-cleverjohnson,4,2,1,"[datetime.datetime(2022, 4, 8, 20, 2, 27)]",1
270,01,10,01-10-resistor-color-duo-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/01-10-resistor-color-duo-cleverjohnson,4,2,1,"[datetime.datetime(2022, 4, 8, 20, 7, 33)]",1
271,02,14,02-14-darts-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-14-darts-cleverjohnson,4,2,1,"[datetime.datetime(2022, 4, 8, 20, 12, 33)]",1
272,02,13,02-13-pig-latin-cleverjohnson,cleverjohnson,https://api.github.com/repos/DB-Teaching/02-13-pig-latin-cleverjohnson,3,1,0,[],1
273,01,03,01-03-gigasecond-yadwinder1905,yadwinder1905,https://api.github.com/repos/DB-Teaching/01-03-gigasecond-yadwinder1905,3,1,0,[],1
