,session,exercise,name,user,url,commits,runs,completed,failed
258,01,03,01-03-difference-of-squares-yadwinder1905,yadwinder1905,https://github.com/DB-Teaching/01-03-difference-of-squares-yadwinder1905,3,1,0,0
259,02,14,02-14-darts-Amit021,Amit021,https://github.com/DB-Teaching/02-14-darts-Amit021,4,2,1,1
260,02,14,02-14-darts-Tanmaytc25,Tanmaytc25,https://github.com/DB-Teaching/02-14-darts-Tanmaytc25,3,1,0,0
261,02,14,02-14-darts-yadwinder1905,yadwinder1905,https://github.com/DB-Teaching/02-14-darts-yadwinder1905,3,1,0,0
262,01,03,01-03-gigasecond-MadalinaLupacescu,MadalinaLupacescu,https://github.com/DB-Teaching/01-03-gigasecond-MadalinaLupacescu,5,3,1,1
263,01,03,01-03-gigasecond-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/01-03-gigasecond-Marinapozhid,4,2,1,1
264,02,14,02-14-darts-MadalinaLupacescu,MadalinaLupacescu,https://github.com/DB-Teaching/02-14-darts-MadalinaLupacescu,4,2,1,1
265,02,14,02-14-darts-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-14-darts-Marinapozhid,4,2,1,1
266,01,02,01-02-leap-staycliz,staycliz,https://github.com/DB-Teaching/01-02-leap-staycliz,4,2,1,1
267,01,03,01-03-difference-of-squares-staycliz,staycliz,https://github.com/DB-Teaching/01-03-difference-of-squares-staycliz,4,2,1,1
268,01,09,01-09-resistor-color-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/01-09-resistor-color-cleverjohnson,4,2,1,1
269,01,10,01-10-resistor-color-duo-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/01-10-resistor-color-duo-cleverjohnson,4,2,1,1
270,02,14,02-14-darts-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/02-14-darts-cleverjohnson,4,2,1,1
271,02,13,02-13-pig-latin-cleverjohnson,cleverjohnson,https://github.com/DB-Teaching/02-13-pig-latin-cleverjohnson,4,2,1,1
272,01,03,01-03-gigasecond-yadwinder1905,yadwinder1905,https://github.com/DB-Teaching/01-03-gigasecond-yadwinder1905,4,2,1,1
273,05,02,05-02-roman-numerals-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-02-roman-numerals-dominikb1888,3,1,0,0
274,05,03,05-03-rotational-cipher-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-03-rotational-cipher-dominikb1888,3,1,0,0
275,05,04,05-04-run-length-encoding-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-04-run-length-encoding-dominikb1888,3,1,0,0
276,05,05,05-05-secret-handshake-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-05-secret-handshake-dominikb1888,3,1,0,0
277,05,06,05-06-sieve-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-06-sieve-dominikb1888,3,1,0,0
278,05,07,05-07-space-age-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-07-space-age-dominikb1888,3,1,0,0
279,05,08,05-08-spiral-matrix-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-08-spiral-matrix-dominikb1888,3,1,0,0
280,05,09,05-09-transpose-dominikb1888,dominikb1888,https://github.com/DB-Teaching/05-09-transpose-dominikb1888,3,1,0,0
281,07,01,07-01-meetup-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-01-meetup-dominikb1888,3,1,0,0
282,07,02,07-02-dnd-character-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-02-dnd-character-dominikb1888,3,1,0,0
283,07,03,07-03-simple-linked-list-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-03-simple-linked-list-dominikb1888,3,1,0,0
284,07,04,07-04-scale-generator-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-04-scale-generator-dominikb1888,3,1,0,0
285,07,05,07-05-go-counting-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-05-go-counting-dominikb1888,3,1,0,0
286,07,06,07-06-luhn-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-06-luhn-dominikb1888,3,1,0,0
287,07,07,07-07-clock-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-07-clock-dominikb1888,3,1,0,0
288,07,08,07-08-complex-numbers-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-08-complex-numbers-dominikb1888,3,1,0,0
289,07,09,07-09-allergies-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-09-allergies-dominikb1888,3,1,0,0
290,07,10,07-10-linked-list-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-10-linked-list-dominikb1888,3,1,0,0
